N,density,threads,repeats,sample_id,gemm_time_s,spmm_time_s,nnz,bw_stream_GBs
768,0.01,6,3,7,0.007452,0.000698,5838,27.377
768,0.01,6,3,8,0.007417,0.000574,5838,27.377
768,0.01,6,3,9,0.006180,0.000737,5838,27.377
768,0.01,6,3,10,0.007594,0.000736,5838,27.377
768,0.01,6,3,11,0.007841,0.000653,5838,27.377
768,0.01,6,3,12,0.007178,0.000586,5838,27.377
768,0.01,6,3,13,0.007653,0.000713,5838,27.377
768,0.01,6,3,14,0.006253,0.000247,5838,27.377
768,0.01,6,3,15,0.007383,0.000671,5838,27.377
768,0.01,6,3,16,0.007118,0.000891,5838,27.377
768,0.01,6,3,17,0.007486,0.000571,5838,27.377
768,0.01,6,3,18,0.007889,0.001726,5838,27.377
768,0.01,6,3,19,0.006916,0.000786,5838,27.377
768,0.01,6,3,20,0.007324,0.000812,5838,27.377
768,0.01,6,3,21,0.006750,0.000590,5838,27.377
768,0.01,6,3,22,0.006892,0.000892,5838,27.377
768,0.01,6,3,23,0.007372,0.000549,5838,27.377
768,0.01,6,3,24,0.007513,0.000494,5838,27.377
768,0.01,6,3,25,0.007229,0.000803,5838,27.377
1024,0.01,6,3,1,0.017140,0.000885,10321,27.377
1024,0.01,6,3,2,0.018353,0.000966,10321,27.377
1024,0.01,6,3,3,0.018008,0.000999,10321,27.377
1024,0.01,6,3,4,0.016931,0.000904,10321,27.377
1024,0.01,6,3,5,0.018447,0.000967,10321,27.377
1024,0.01,6,3,6,0.018027,0.001069,10321,27.377
1024,0.01,6,3,7,0.018628,0.000951,10321,27.377
1024,0.01,6,3,8,0.017500,0.001004,10321,27.377
1024,0.01,6,3,9,0.031819,0.002720,10321,27.377
1024,0.01,6,3,10,0.019187,0.000975,10321,27.377
1024,0.01,6,3,11,0.016333,0.001013,10321,27.377
1024,0.01,6,3,12,0.016708,0.000908,10321,27.377
1024,0.01,6,3,13,0.016481,0.000901,10321,27.377
1024,0.01,6,3,14,0.017160,0.001004,10321,27.377
1024,0.01,6,3,15,0.014259,0.000934,10321,27.377
1024,0.01,6,3,16,0.017771,0.000936,10321,27.377
1024,0.01,6,3,17,0.017428,0.000988,10321,27.377
1024,0.01,6,3,18,0.019705,0.000985,10321,27.377
1024,0.01,6,3,19,0.016844,0.001023,10321,27.377
1024,0.01,6,3,20,0.018184,0.000988,10321,27.377
1024,0.01,6,3,21,0.019620,0.001039,10321,27.377
1024,0.01,6,3,22,0.018086,0.000985,10321,27.377
1024,0.01,6,3,23,0.018109,0.001007,10321,27.377
1024,0.01,6,3,24,0.018692,0.001083,10321,27.377
1024,0.01,6,3,25,0.018172,0.000987,10321,27.377
1536,0.01,6,3,1,0.053921,0.002094,23271,27.377
1536,0.01,6,3,2,0.055062,0.001968,23271,27.377
1536,0.01,6,3,3,0.055607,0.002192,23271,27.377
1536,0.01,6,3,4,0.054833,0.001895,23271,27.377
1536,0.01,6,3,5,0.056063,0.001940,23271,27.377
1536,0.01,6,3,6,0.054974,0.001852,23271,27.377
1536,0.01,6,3,7,0.058362,0.001989,23271,27.377
1536,0.01,6,3,8,0.056112,0.001963,23271,27.377
1536,0.01,6,3,9,0.057121,0.002116,23271,27.377
1536,0.01,6,3,10,0.055794,0.001957,23271,27.377
1536,0.01,6,3,11,0.054530,0.002105,23271,27.377
1536,0.01,6,3,12,0.055372,0.001925,23271,27.377
